ligand_id,smiles,pdbqt_path
CHEMBL585951,Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL585951.pdbqt
CHEMBL558642,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL558642.pdbqt
CHEMBL289228,Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL289228.pdbqt
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL939.pdbqt
CHEMBL176544,Cn1cc(/C=C2\C(=O)Nc3cccnc32)c2ccccc21,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL176544.pdbqt
CHEMBL1090090,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL1090090.pdbqt
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL888.pdbqt
CHEMBL240954,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@H]1C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL240954.pdbqt
CHEMBL412142,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL412142.pdbqt
CHEMBL1186585,O=c1cc(CN2CCOCC2)occ1OCCCCCSc1ccnc2cc(C(F)(F)F)ccc12,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL1186585.pdbqt
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL399530.pdbqt
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL535.pdbqt
CHEMBL191384,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL191384.pdbqt
CHEMBL255342,O=C1/C(=C/c2cccs2)CC/C1=C\c1cccs1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL255342.pdbqt
CHEMBL217354,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL217354.pdbqt
CHEMBL1173055,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL1173055.pdbqt
CHEMBL512504,N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL512504.pdbqt
CHEMBL848,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL848.pdbqt
CHEMBL94657,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL94657.pdbqt
CHEMBL2165191,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL2165191.pdbqt
CHEMBL2363137,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL2363137.pdbqt
CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL601719.pdbqt
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL5416410.pdbqt
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL888.pdbqt
CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL105.pdbqt
CHEMBL92309,COC(=O)CNC(=O)C(=O)OC,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL92309.pdbqt
CHEMBL2107358,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL2107358.pdbqt
CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL65.pdbqt
CHEMBL1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL1023.pdbqt
CHEMBL2134202,CCc1cncnc1N1CCN(Cc2nc3cc(C(F)(F)F)ccc3[nH]2)CC1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL2134202.pdbqt
CHEMBL2137530,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL2137530.pdbqt
CHEMBL1614701,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL1614701.pdbqt
CHEMBL254129,CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL254129.pdbqt
CHEMBL217354,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL217354.pdbqt
CHEMBL413,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL413.pdbqt
CHEMBL450786,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL450786.pdbqt
CHEMBL483847,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL483847.pdbqt
CHEMBL1242367,CCNc1cc(N[C@H]2CC[C@@H](O)CC2)nc(Nc2ccc3c(ccn3Cc3ccccc3)c2)n1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL1242367.pdbqt
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,c:\Users\SRAVANI\project\drug_screening_app\backend\data\ligands_pdbqt\CHEMBL941.pdbqt
