ligand_id,smiles,pdbqt_path
CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,data/demo\ligands_pdbqt_demo\CHEMBL509032.pdbqt
CHEMBL573107,CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C,data/demo\ligands_pdbqt_demo\CHEMBL573107.pdbqt
CHEMBL575448,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,data/demo\ligands_pdbqt_demo\CHEMBL575448.pdbqt
CHEMBL64925,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,data/demo\ligands_pdbqt_demo\CHEMBL64925.pdbqt
CHEMBL1289926,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,data/demo\ligands_pdbqt_demo\CHEMBL1289926.pdbqt
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,data/demo\ligands_pdbqt_demo\CHEMBL252164.pdbqt
CHEMBL412142,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,data/demo\ligands_pdbqt_demo\CHEMBL412142.pdbqt
CHEMBL9470,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,data/demo\ligands_pdbqt_demo\CHEMBL9470.pdbqt
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,data/demo\ligands_pdbqt_demo\CHEMBL252164.pdbqt
CHEMBL591429,C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,data/demo\ligands_pdbqt_demo\CHEMBL591429.pdbqt
CHEMBL848,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,data/demo\ligands_pdbqt_demo\CHEMBL848.pdbqt
CHEMBL96926,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,data/demo\ligands_pdbqt_demo\CHEMBL96926.pdbqt
CHEMBL2165191,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,data/demo\ligands_pdbqt_demo\CHEMBL2165191.pdbqt
CHEMBL64925,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,data/demo\ligands_pdbqt_demo\CHEMBL64925.pdbqt
CHEMBL585951,Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1,data/demo\ligands_pdbqt_demo\CHEMBL585951.pdbqt
CHEMBL512504,N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O,data/demo\ligands_pdbqt_demo\CHEMBL512504.pdbqt
CHEMBL483847,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,data/demo\ligands_pdbqt_demo\CHEMBL483847.pdbqt
CHEMBL506871,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,data/demo\ligands_pdbqt_demo\CHEMBL506871.pdbqt
